daily_limit_mins,current_session_mins,total_usage_today,addiction_level,time_of_day_hr,scroll_velocity_avg,session_depth_pages,next_interval_mins,interruption_type_id
120,33,30,1,16,18.649837224229287,2,24,4
150,41,107,5,4,13.314634418909748,21,6,7
90,54,223,7,16,9.578882647214186,5,1,20
180,133,62,2,0,14.093350805771195,27,1,19
300,33,10,2,1,13.288202807766885,33,23,6
180,143,157,6,2,15.226101603283094,5,2,20
30,97,83,10,17,15.066834386796254,30,2,20
30,93,140,2,3,18.772513928456423,8,3,20
300,168,99,4,9,9.756868338169049,18,1,19
300,80,297,10,4,26.01620515937497,13,1,18
90,20,100,3,17,15.095720983290882,24,7,15
300,65,379,4,15,18.247549725941944,9,1,19
60,44,207,9,12,17.859803572473112,18,1,20
180,133,132,1,22,14.962040956007101,24,1,20
150,3,181,5,19,15.626599099070944,5,8,17
240,17,78,2,5,20.160824873766934,31,39,2
300,80,173,6,4,25.095294928659044,38,5,17
120,35,13,10,2,12.566299236419985,38,1,8
30,111,12,10,12,5.799016728446002,34,3,18
60,54,124,9,6,15.98737950676608,39,1,20
240,142,24,3,11,9.87521067993244,30,3,20
150,66,310,8,22,21.969954122075833,33,1,19
240,76,40,10,14,12.546221050038344,30,3,15
300,152,391,7,18,21.750809212372094,16,1,20
90,160,249,5,7,18.646073474469315,12,1,18
30,24,132,3,8,23.765664870489886,5,7,19
30,129,155,4,23,7.4824050159494355,14,1,20
90,129,210,4,14,10.643065734542152,8,1,20
180,10,61,4,2,11.691754768625431,15,41,5
45,8,101,1,5,7.066119321884123,20,14,20
60,155,88,2,16,6.629987871201482,15,1,20
30,150,81,5,3,22.346297820696794,4,2,20
120,3,61,5,22,10.503814948036192,19,45,3
30,164,184,4,21,26.985160349589144,17,1,18
240,122,343,4,19,15.011040945685671,34,1,20
30,157,103,10,14,7.694569561254852,34,1,20
30,27,63,6,1,18.024872753571124,15,1,20
45,27,165,6,20,16.15263537759566,21,1,20
45,141,106,3,6,14.237030865775674,24,1,20
150,137,15,2,22,12.180274882024612,28,2,18
180,74,237,3,3,16.764044252818543,12,1,19
120,25,181,5,11,20.968452414665208,35,3,20
30,143,120,3,12,13.850132650969684,21,2,19
30,65,126,4,6,16.86368606089488,17,1,20
60,54,43,5,3,22.139090828090836,25,1,6
45,145,15,7,1,11.494852188838138,6,1,20
120,41,96,7,3,20.138865360199336,34,3,6
150,138,257,9,23,15.852693244180719,37,1,20
180,35,117,6,17,6.139752744783209,15,16,3
90,15,73,6,17,4.479683992901773,9,32,2
180,22,312,7,2,13.478300049476559,17,1,20
240,130,119,9,1,14.32787504417992,21,1,20
30,97,183,9,14,16.5416208760193,24,1,20
150,38,64,7,16,10.926957316487046,39,8,4
240,73,130,6,23,18.231642360979475,34,2,17
120,72,214,2,16,18.658238014192165,18,1,20
90,23,131,1,9,25.95576767843803,35,12,18
45,37,46,7,7,18.369600234852,1,1,16
150,152,47,4,22,11.877610673408688,17,1,20
150,169,241,6,6,1.3928939216980822,24,2,19
30,147,186,3,21,20.029932193360498,16,3,19
300,29,438,2,20,15.028300385388167,19,8,20
150,64,172,2,13,14.339856103615471,34,4,18
60,89,41,8,6,13.369461539698026,3,1,16
90,3,38,5,12,12.778558388588573,8,45,1
90,116,194,7,11,19.62908645318766,27,4,19
60,9,224,10,1,11.807512523423702,35,1,20
60,2,134,9,5,10.107492044856567,16,7,20
60,89,168,9,13,23.211548296334144,7,1,20
90,123,43,4,15,16.009025987951702,28,2,19
180,52,170,10,20,13.302585155779077,24,4,6
90,6,91,1,7,21.102602248183956,28,15,13
300,22,427,1,14,22.807132408332393,15,8,18
30,60,100,6,14,18.785867427125254,26,1,18
240,117,387,5,4,13.533034699132067,8,1,20
180,25,284,1,6,23.277915301524594,10,11,19
45,22,203,10,12,19.78361739552566,38,3,20
240,170,283,4,8,9.89359988595709,33,1,19
30,88,86,10,13,17.391653709517044,3,1,19
300,159,404,5,3,15.452000613417272,26,1,20
300,61,277,1,9,22.098428349778523,19,10,12
45,170,155,6,13,11.995599652124856,8,1,19
180,76,254,3,17,15.008418441100003,20,1,20
60,18,228,7,21,13.412454766135845,20,5,20
180,170,202,4,15,21.126350531592532,6,2,20
300,128,114,9,2,18.62596949845895,2,1,20
90,103,0,2,5,13.871438499079105,16,3,16
30,40,116,10,22,15.66372306725749,13,1,20
45,78,79,4,0,19.99113177587297,10,2,20
30,157,86,2,18,8.090851404003235,29,2,20
120,99,107,10,8,16.56583957379856,33,3,19
120,67,247,7,8,20.18890936750029,30,1,19
180,33,60,6,16,17.87275202930809,28,13,5
300,139,382,7,13,14.0815380933934,27,1,20
300,124,58,6,12,16.219573637800735,39,1,19
60,22,26,3,0,13.995235607069326,23,28,5
60,32,220,1,0,18.50596386782296,9,4,20
60,168,18,7,6,19.92644715463622,23,1,19
90,121,44,6,22,8.627725736577721,22,3,19
240,77,176,10,14,19.077360516851172,3,2,15
150,174,82,7,21,8.567455680179167,33,2,20
240,66,173,5,15,16.689456687444174,11,2,12
30,98,197,7,1,24.858333854252948,23,2,20
240,111,23,9,7,15.985700026424091,8,3,18
90,106,247,7,11,12.815044290979342,16,1,18
30,27,36,5,0,18.145690956967048,1,1,20
240,27,176,1,21,13.143125622390857,13,31,3
90,62,251,7,14,9.817824796300386,19,2,20
150,66,217,2,1,12.944640533326346,27,1,20
240,143,312,5,1,16.665055492151065,34,2,20
90,55,145,10,15,21.337239888891354,36,2,17
60,129,68,2,16,11.160203785014932,4,2,20
300,103,219,10,9,19.0956831063194,8,2,18
60,59,155,3,7,21.061758383929888,9,1,20
300,28,245,1,2,11.462038384229782,32,26,6
45,131,160,3,6,22.420634645184418,17,4,18
45,107,49,6,7,18.884319953901965,34,1,19
45,83,123,5,7,11.416001386501975,4,2,20
150,164,252,5,7,19.19894723391605,26,2,20
60,111,36,4,21,10.144175394874766,26,2,18
300,20,460,1,9,17.329687149407977,27,10,18
90,87,100,7,1,7.898022238949814,13,2,20
30,1,63,2,2,18.328405830012812,14,11,20
90,99,75,9,0,15.453562264868198,11,1,19
30,147,124,2,0,17.200159598867128,25,1,20
120,112,84,6,2,13.019577280788354,30,1,20
90,77,105,7,20,21.277526823689122,15,1,20
240,126,167,4,17,14.800084470668796,9,1,17
240,57,223,5,14,25.55693734480998,10,3,5
180,173,344,3,13,15.702821439049174,38,1,20
60,47,60,5,3,19.813561317260504,20,3,19
30,138,117,10,17,26.745686903831796,19,1,20
30,104,58,3,13,15.282699303976573,36,1,19
60,162,142,2,3,10.546053626989156,11,1,20
150,9,94,1,10,11.698183726698783,33,51,3
180,90,244,5,5,9.554729560222944,39,1,19
150,110,38,6,8,19.47610479833823,17,3,17
150,143,128,1,14,15.17371152460618,29,1,19
150,126,133,9,7,14.37210286780449,26,4,20
60,48,76,10,1,18.411922541152087,22,1,20
150,96,28,2,19,11.44680358783241,10,1,16
240,130,163,7,5,9.006254704208976,38,2,20
45,62,223,7,8,10.897222184871115,31,1,20
120,106,72,9,5,4.920221314416583,30,4,18
30,20,193,2,13,12.550216244427798,27,6,20
30,35,115,3,5,25.92639778238397,17,5,20
120,4,168,3,12,16.215664248417607,33,10,14
60,156,115,4,4,11.378258105106159,19,1,20
90,120,96,5,4,19.94989520654343,28,2,20
60,6,201,5,4,6.968191385338336,22,4,20
30,157,35,9,21,13.54047858128506,39,1,20
30,76,108,10,5,13.593067208129227,4,1,19
120,15,286,5,16,19.66417420591804,13,7,19
150,26,127,4,22,14.373317693803926,9,28,3
60,154,206,10,11,12.699036972028429,39,1,20
300,24,241,8,10,8.889546678096728,21,18,3
120,112,44,9,2,11.151839758625764,34,1,20
240,131,340,9,4,18.55935743808314,18,2,20
30,146,50,2,2,19.128284136565025,2,1,20
120,95,184,3,18,14.650472472527257,9,1,20
60,95,21,1,15,17.523738491411436,11,3,17
30,29,40,6,11,20.195055148813477,32,3,20
90,119,55,8,15,13.915153348537249,26,3,20
120,160,294,5,13,6.610330040632736,39,1,19
180,129,240,2,17,12.895570035583557,18,3,20
30,146,104,7,2,10.046500163800573,19,1,20
60,143,52,10,15,9.552909233409528,11,2,19
45,40,88,8,14,22.984975407934776,21,1,19
300,169,95,5,8,17.19850589575255,29,2,20
150,23,247,5,7,15.470444093986305,36,4,20
60,67,210,7,1,5.736448158737007,24,4,20
240,9,305,2,9,18.79441260999962,31,11,15
240,171,151,9,9,16.986430132084415,18,2,20
45,79,140,6,6,7.9147446192177915,6,3,19
150,139,120,3,10,16.943865985773485,28,3,20
180,87,258,4,11,14.234693231236646,25,1,20
45,22,191,6,16,19.280381930405948,21,5,20
45,124,151,3,7,13.47850702055989,1,2,19
30,64,52,1,13,17.570279383451407,28,1,20
240,4,284,5,7,22.687384414316178,14,10,14
30,172,126,6,7,11.68763325707462,39,2,20
300,170,130,4,21,10.880603549726315,36,2,20
150,122,80,7,5,23.275968935240286,31,2,20
180,119,336,4,6,15.210076099417869,26,1,19
180,91,13,10,21,15.597464223983154,27,1,17
60,128,1,8,0,18.77332307996407,28,1,20
45,170,210,6,20,22.333634980496704,22,3,20
300,136,430,5,20,18.091639706898146,19,1,20
240,80,384,5,21,8.103116970414982,6,1,20
180,28,77,7,16,12.934365814086934,29,19,5
300,93,324,1,23,15.8229401543078,20,1,20
90,1,162,9,12,13.838472347276683,37,6,19
90,54,154,10,2,17.199928826780603,9,1,20
30,80,22,8,20,20.227262387268617,17,2,15
240,105,110,10,10,14.532479976514221,5,3,19
60,3,200,3,3,15.189708221354003,5,7,20
180,23,330,4,16,13.60789457463152,12,8,20
45,72,5,6,7,6.06967003400813,11,4,16
45,153,201,9,4,17.693942982600188,30,2,20
180,139,140,6,15,26.755302763702623,22,1,20
150,124,307,7,14,15.772205305244459,24,3,20
60,28,177,2,5,19.06309727617517,6,8,20
300,100,435,5,14,17.672933572894305,5,1,20
150,94,209,8,12,10.981311467585817,2,1,20
150,148,183,2,17,15.10455578149905,39,1,20
30,158,91,10,18,12.317775755908242,28,1,20
90,134,25,5,7,21.795967586455102,39,1,20
150,31,139,10,11,15.630859970858566,18,11,3
150,1,259,1,22,15.504590162604986,20,13,17
120,120,12,7,4,19.099036210684705,13,1,20
30,66,144,5,14,19.314315794409953,30,1,20
240,14,189,2,17,24.13901424501593,19,41,3
120,165,64,1,20,15.645204318547748,17,3,20
120,144,100,7,7,18.609921025068964,6,1,20
180,35,119,4,13,16.731979532504727,25,17,4
90,156,260,1,14,19.07008173238768,28,1,19
150,82,44,9,6,14.617677858256439,14,3,16
90,63,60,4,20,13.843047248600682,27,6,12
60,142,39,9,15,20.387588120649802,39,1,19
180,60,261,5,6,21.12681466778312,28,1,20
240,84,244,7,19,20.044316421611207,32,2,20
90,161,172,5,20,8.223304658066006,23,1,20
45,17,204,5,21,6.690310686908225,9,8,20
60,55,202,9,3,21.223759305109176,27,1,20
30,72,166,4,17,6.985724741254465,38,2,20
240,80,106,2,10,11.721452105456756,21,6,14
60,100,214,6,17,12.3981250620012,26,2,20
180,168,305,3,13,15.980390776890873,22,1,20
120,165,188,8,11,20.300476711534593,29,1,20
120,49,215,10,19,26.60944999792867,5,2,20
180,176,185,2,15,15.360531788419362,29,1,19
300,1,478,1,7,21.159286118733995,38,11,17
120,31,179,2,2,13.535623845874843,8,3,20
30,20,60,2,14,11.439452390089134,3,7,20
30,80,155,4,2,26.828764141850648,20,1,20
45,164,157,8,5,22.689115223285338,27,1,20
150,173,90,7,4,19.18205199328533,27,2,20
300,42,417,1,2,11.906746287605138,13,2,20
240,125,355,10,15,18.046336436617572,22,2,20
120,45,285,5,2,25.927307154923408,27,3,20
30,113,3,7,22,14.794289944028764,7,2,18
180,171,249,4,7,21.913969412285258,8,2,20
120,82,91,9,15,22.342236615374986,18,1,14
150,84,226,2,4,13.95020548995898,28,3,20
180,164,75,5,18,17.348913025939744,1,3,19
60,119,234,4,21,17.27485622348253,36,2,18
60,10,228,10,4,19.09094137745039,37,1,20
120,5,89,5,20,18.195265624069954,25,45,2
150,27,25,3,17,7.429338454349097,13,26,2
300,72,78,3,7,9.133929486170143,13,7,13
120,23,163,5,18,18.94012692748247,10,6,20
30,14,4,6,23,18.80537723870371,38,31,5
90,176,247,1,11,14.630400367432683,5,1,20
120,87,54,4,19,24.31344854098478,26,1,13
120,45,281,4,9,22.42862279618055,20,2,20
180,165,11,9,16,11.82606870454349,17,3,20
90,161,81,3,8,5.389750425455844,10,2,19
30,93,59,7,7,13.12625998480204,34,4,20
120,77,284,1,1,11.663382088232199,11,1,20
180,10,119,8,18,19.931941124260142,7,33,3
150,136,261,7,22,6.500078732755192,30,1,20
120,110,7,5,22,11.605850978986402,12,1,18
90,21,245,10,3,8.117059229086603,22,1,20
45,122,140,9,14,8.221453878346694,12,2,19
90,96,200,7,19,12.609375884846797,24,2,20
60,83,83,9,9,12.270602107818611,23,2,20
30,178,20,1,6,11.214440449626647,19,3,20
240,82,264,3,13,11.457174253730013,38,1,20
120,168,253,5,5,15.014826992281163,32,1,20
90,148,196,6,12,17.457814274226813,6,3,19
240,88,353,8,8,8.350448899634644,1,1,20
180,23,222,7,9,20.478599071185677,29,2,18
45,21,105,7,6,11.67994114751654,26,3,20
30,82,120,4,16,15.326310472892958,37,1,20
90,25,47,6,6,12.186600906783084,8,23,4
240,4,277,10,13,5.179585191315663,33,3,17
45,105,84,5,1,9.947796701336966,16,3,20
60,97,178,3,21,17.648221741654147,5,2,20
30,120,77,6,17,16.969763753943177,15,1,19
30,85,147,1,10,12.701004869300508,38,1,18
60,151,223,10,17,9.88493407121241,33,1,20
120,83,229,7,10,3.0620502729737815,35,2,20
60,122,131,9,20,18.16254302490125,38,1,20
30,105,91,1,15,15.640459171101153,13,2,19
30,19,197,10,7,21.990712360086555,26,1,17
240,94,204,5,7,13.515217933945378,14,1,15
45,159,112,1,3,10.940040041251326,21,1,20
60,70,177,4,5,11.645122671868311,33,1,20
45,137,137,8,11,15.329709208099615,15,2,19
60,49,171,10,7,7.079208364602627,2,1,20
180,28,247,9,20,17.993204279772236,24,2,20
30,105,186,5,18,16.749471035687627,23,3,20
240,172,110,2,7,14.16462264574616,36,2,19
45,45,58,1,2,8.614546796244973,23,1,20
60,52,198,9,12,14.120128352662482,6,2,19
300,165,456,8,23,15.088547511468766,27,1,20
180,101,11,8,18,10.260127877935624,2,1,16
90,93,164,2,3,11.93941286728386,16,1,20
120,1,202,7,20,17.31457934847038,28,10,19
45,28,7,3,14,21.642870276126434,11,29,3
240,91,311,8,15,10.820037292761187,19,3,19
90,62,190,6,18,22.62754537260291,1,3,19
300,48,52,8,14,17.198651563264566,21,4,4
120,50,39,9,20,4.127308086963881,1,2,6
300,179,186,9,16,19.769222872215728,37,3,20
90,176,54,2,0,13.201369124455736,2,1,20
120,39,215,2,15,17.557909882029406,26,2,17
300,21,141,7,23,18.149741033310494,38,22,7
240,98,419,8,13,9.981381958400378,31,1,20
60,95,139,2,8,10.6534906127002,20,1,20
30,88,191,9,4,14.11821530451786,30,1,20
60,118,62,8,5,7.356678815370598,35,1,19
90,73,186,5,21,18.042322076551986,34,2,19
45,41,31,3,21,17.852062551316138,19,12,4
30,171,68,4,5,9.944645454929383,35,1,20
180,125,199,3,19,14.674154561225613,35,1,20
240,94,223,9,1,13.895254110877717,14,2,20
180,101,15,1,7,12.514463303393802,2,3,16
120,141,286,8,21,15.400281048399046,24,1,20
30,115,67,7,12,10.567259106874296,31,1,20
180,81,315,5,22,12.869944478919296,11,1,20
180,13,300,2,2,21.77139405325353,37,7,20
300,7,74,4,22,3.6732669702659813,32,46,1
60,108,16,3,13,17.336346006019888,30,3,17
300,119,205,7,9,12.876218892856341,20,1,18
30,7,143,4,0,21.954493358748575,22,7,20
30,18,203,7,14,14.350059704606501,37,6,20
90,124,181,4,7,14.14868442666459,15,1,20
300,102,396,8,0,17.903866084561287,14,1,20
150,85,329,5,22,20.1842158023144,6,3,20
60,149,212,10,16,5.940915640605372,27,3,20
30,23,90,2,12,16.68353613646256,32,10,20
90,71,104,1,1,5.892649646125342,36,3,20
300,107,475,4,23,15.25277232318705,34,3,20
60,173,6,3,15,20.139957109432764,5,4,20
300,143,354,6,4,23.23163243843505,19,1,20
180,112,276,6,10,15.12569453686788,35,1,20
90,140,110,1,3,19.512213171475047,9,1,20
60,58,177,5,9,11.196252908234655,6,2,19
120,75,41,6,7,26.35076287071954,25,3,15
120,116,299,6,0,16.451072722134004,35,1,20
60,67,117,7,3,4.091354196232553,29,1,20
300,9,113,6,15,17.108539084847628,13,41,3
90,178,58,10,19,11.962176487514776,37,2,20
120,158,262,10,7,21.890046513200055,10,1,20
90,141,31,3,14,11.174256159993316,17,3,20
120,15,263,10,1,20.78921527342253,25,1,20
180,118,318,6,12,14.962797730064041,16,1,20
300,113,383,2,13,17.49218294451168,3,3,20
180,47,19,6,18,14.07917773603221,25,4,5
120,3,160,1,19,10.775333400072409,5,15,15
180,83,17,9,3,17.771426196789257,1,2,19
120,127,23,2,21,16.412145388541912,23,5,18
60,128,40,9,23,11.322023946290987,31,1,20
180,136,59,9,9,10.06075635968648,32,3,19
45,170,64,9,14,16.36419968261123,34,3,20
300,147,27,8,14,15.864799008041777,20,4,20
30,157,139,10,12,14.367238566417745,11,1,20
150,39,126,9,12,21.1202729041892,19,4,4
180,38,265,6,2,19.902427873929724,38,1,20
240,18,195,10,23,23.156164073699895,22,21,4
300,34,174,1,22,17.280342643777146,4,24,4
45,65,175,3,15,20.858785290867438,7,1,19
45,79,219,7,17,21.96893883727357,21,1,19
120,168,97,6,20,13.5822397360228,24,3,20
120,54,286,7,18,10.675911950826574,24,1,18
150,91,299,2,3,17.395489738134476,15,2,20
60,24,163,4,15,15.510683351193112,33,9,20
240,69,98,7,1,19.997230861241423,34,1,17
30,163,102,7,19,15.829594432433339,24,1,20
150,163,253,1,18,17.93376546535955,38,1,20
90,69,164,4,22,13.320061527122022,37,2,20
30,79,128,1,18,8.963176036682832,7,1,18
180,108,294,1,23,22.032943344108183,39,1,20
300,178,179,4,6,22.017645985947016,23,1,19
90,134,86,7,18,17.75598449866986,29,2,18
90,55,37,2,15,16.51785441382452,13,4,2
150,80,274,2,14,13.008228176660158,31,1,20
60,29,43,10,1,12.939217209004138,12,8,5
150,105,128,2,5,17.26012644622436,39,1,15
180,122,35,10,0,16.573028944048836,33,1,20
60,70,232,10,7,14.964385532499275,23,2,19
180,3,113,4,22,8.990768031485928,12,48,2
60,172,189,9,8,10.741775764801169,6,1,20
45,45,87,2,11,19.261960013598184,37,5,20
90,3,71,1,6,20.225572242601167,19,55,2
240,133,60,9,14,16.923833794934094,10,2,19
300,54,24,4,4,10.65737729805165,18,1,6
180,124,58,8,15,21.6119589237956,25,4,20
30,25,167,5,18,11.14960301613647,6,4,19
60,90,188,4,20,23.523827913256834,11,1,20
300,57,172,8,21,6.782518581044949,23,3,5
30,120,121,6,19,15.948686209486699,9,1,20
300,116,69,7,20,15.707193815393348,25,5,18
240,113,15,7,15,19.73985225895978,34,1,17
30,90,37,3,9,20.671928513843778,19,1,20
150,113,114,6,13,21.875251516852742,5,2,18
120,5,60,3,19,15.819582882150167,14,48,2
150,31,314,8,7,8.382029560253438,5,1,20
120,139,178,10,10,15.633576604847184,2,1,19
150,57,40,10,5,9.568156327294435,8,7,7
120,111,279,6,8,14.6601690193979,26,1,20
120,112,120,1,18,9.401449937569609,38,1,18
90,78,162,6,17,10.94473099831136,6,3,19
60,171,81,2,8,13.060359253835358,5,1,18
60,120,173,7,2,18.38756342946606,30,4,20
90,74,151,4,8,15.450406364161822,28,1,20
300,62,17,9,8,8.068808697773683,15,3,15
45,54,167,4,20,17.434618940971237,11,1,20
300,168,49,6,7,18.06590711180566,21,4,19
30,166,199,3,17,16.577269072297643,14,4,20
30,94,31,1,13,13.652971840693118,4,2,19
120,24,286,7,2,5.494933416102388,16,1,20
150,155,251,7,6,16.285480939346154,36,1,18
150,46,19,1,3,13.808782327472812,24,8,6
60,151,237,4,18,15.724763575981294,9,2,20
180,78,101,9,2,14.68877121311492,1,1,18
300,78,203,6,18,13.692337360435907,4,3,15
240,174,46,2,22,18.085154735351455,20,3,20
150,86,277,6,9,16.610034629181786,13,1,20
240,174,394,6,4,21.93538138950181,24,2,20
120,176,218,5,11,23.763924322033933,37,1,20
240,177,180,10,16,21.71118149114932,15,1,19
90,159,133,2,20,17.793982496920083,7,3,20
240,72,238,10,13,12.361162946899245,15,1,16
45,66,217,6,15,6.668879583322271,24,1,20
120,171,227,7,15,16.32208760497854,19,1,20
300,83,286,3,19,11.837716103243702,35,2,13
90,84,194,3,7,10.294862048952417,34,3,20
150,82,16,7,17,12.203519863098123,34,3,17
30,94,159,9,21,13.33605345620182,26,1,20
300,31,249,1,1,10.917479502450288,1,23,6
30,87,52,1,1,21.099700767465805,31,1,20
120,145,84,2,2,23.792751301608405,13,2,20
90,85,34,10,14,17.727376008880405,28,1,17
60,164,26,5,1,16.55326611699805,32,1,20
150,142,12,9,23,18.562856752190598,2,1,20
45,92,183,10,21,8.585540779234503,27,1,20
60,9,159,1,18,14.597429918139389,34,10,20
120,89,182,5,18,15.949561653155484,25,1,20
300,74,244,3,1,11.855264896991134,17,1,16
45,17,210,1,21,5.012854530790587,8,12,20
240,79,403,7,16,9.931707023391025,33,1,20
45,21,157,2,12,12.731860416797751,36,8,20
120,113,111,8,13,16.241871273236423,18,2,19
180,25,214,8,22,16.334139349849302,18,2,17
240,152,252,5,20,16.28575991443395,24,1,19
30,59,6,8,14,18.906669559253267,10,6,3
150,76,85,9,10,18.519271553561232,39,1,16
30,50,108,4,0,19.001192517381583,38,1,20
45,60,1,10,16,11.488267549435834,21,5,5
30,155,121,10,1,5.1516204197704365,21,1,20
120,32,141,7,22,8.329547738347694,38,1,19
300,116,202,5,0,7.626891044094639,5,1,20
